"FREQ";"Y";"r xyce/V(VIN)";"i xyce/V(VIN)"
-2.5e+11;0.00870236;-0.0077366;-0.00600661
-2e+11;0.00870236;0.0164425;-0.0155843
-1.5e+11;0.00870236;-0.00260303;0.0372259
-1e+11;0.00870236;-0.0305861;-0.0671665
-5e+10;0.00870236;-0.000531023;0.219772
0;0.00870236;1.91414;0
5e+10;0.00870236;-0.000531023;-0.219772
1e+11;0.00870236;-0.0305861;0.0671665
1.5e+11;0.00870236;-0.00260303;-0.0372259
2e+11;0.00870236;0.0164425;0.0155843
2.5e+11;0.00870236;-0.0077366;0.00600661
-2.5e+11;0.00886624;-0.00801989;-0.00603548
-2e+11;0.00886624;0.0168631;-0.0163381
-1.5e+11;0.00886624;-0.00241463;0.0386472
-1e+11;0.00886624;-0.032418;-0.0691425
-5e+10;0.00886624;-0.00132004;0.220924
0;0.00886624;1.92883;0
5e+10;0.00886624;-0.00132004;-0.220924
1e+11;0.00886624;-0.032418;0.0691425
1.5e+11;0.00886624;-0.00241463;-0.0386472
2e+11;0.00886624;0.0168631;0.0163381
2.5e+11;0.00886624;-0.00801989;0.00603548
-2.5e+11;0.00903012;-0.00829791;-0.00606512
-2e+11;0.00903012;0.0172721;-0.0170825
-1.5e+11;0.00903012;-0.00221168;0.0400566
-1e+11;0.00903012;-0.0342636;-0.0710958
-5e+10;0.00903012;-0.00213291;0.222059
0;0.00903012;1.9444;0
5e+10;0.00903012;-0.00213291;-0.222059
1e+11;0.00903012;-0.0342636;0.0710958
1.5e+11;0.00903012;-0.00221168;-0.0400566
2e+11;0.00903012;0.0172721;0.0170825
2.5e+11;0.00903012;-0.00829791;0.00606512
-2.5e+11;0.009194;-0.00857026;-0.00609597
-2e+11;0.009194;0.0176686;-0.017816
-1.5e+11;0.009194;-0.00199316;0.0414528
-1e+11;0.009194;-0.0361241;-0.0730244
-5e+10;0.009194;-0.00297167;0.223176
0;0.009194;1.95547;0
5e+10;0.009194;-0.00297167;-0.223176
1e+11;0.009194;-0.0361241;0.0730244
1.5e+11;0.009194;-0.00199316;-0.0414528
2e+11;0.009194;0.0176686;0.017816
2.5e+11;0.009194;-0.00857026;0.00609597
-2.5e+11;0.00935788;-0.00883647;-0.00612843
-2e+11;0.00935788;0.0180515;-0.0185373
